ID,,Good Practice,,,Bad Practice,,,,
1,P3-1,Create a cookie banner. Include a title and a button to accept or decline the storage and usage of cookies. Use same color for buttons,1,P2-1,"1. Figma Make features: Auto Layout for organizing banner elements. Component Variants for ¡°Accept¡± and ¡°Reject¡± button states. Text and Color Stylesfor consistency. Prototyping to link buttons to ¡°Accept¡± or ¡°Reject¡± actions. 2. Prompts to use: ¡°Design a modern cookie consent banner for a website with¡®Accept¡¯ and ¡®Reject¡¯ buttons.¡± ¡°Add short privacy text explaining cookie use.¡± ¡°Use minimal, clean layout with soft colors and rounded buttons.¡± 3. Userinteraction: Users see the banner at the bottom of the page ¡ú read the short message ¡ú click ¡°Accept¡± or ¡°Reject¡± ¡ú banner disappears ¡ú preferenceis saved.",0.6,,,
2,P8-2,"Design an ads personalization settings page with a brief note, a toggle for personalized ads, and a confirmation message. Keep it simple and user-friendly.",1,P2-5,"1. Figma Make features: Auto Layout: to structure text, radio buttons, and confirmation buttons neatly. Components & Variants: for radio buttons orcheckboxes (selected/unselected). Prototyping: to simulate the unsubscribe confirmation flow. Text & Color Styles: for clear hierarchy and brandingconsistency. 2. Prompts to use: ¡°Design a clean unsubscribe page for a website with an option to stop receiving marketing emails.¡± ¡°Include a shortthank-you or feedback message, and a visible ¡®Unsubscribe¡¯ button.¡± ¡°Use a simple layout with friendly wording and brand colors.¡± 3. User interaction:Users click ¡°Unsubscribe¡± link in an email ¡ú page opens showing their email address and message (¡°We¡¯re sorry to see you go. Would you like tounsubscribe from all newsletters?¡±) ¡ú user selects ¡®Yes, unsubscribe me¡¯ ¡ú clicks ¡®Confirm Unsubscribe¡¯ ¡ú success message appears (¡°You have beenunsubscribed. You¡¯ll no longer receive marketing emails.¡±) ¡ú optional ¡®Resubscribe¡¯ link displayed.",0.6,,,
3,P8-5,"help design a clean webbsite layout that features an unsubscribe page with two toggle buttons, one for ""Subscribe"" when checked and the other for ""Unsubscribe"". And after a user check on either of the two toggles, it should show a brief explanation and confirmation message. And remember to make the ui user friendly",1,P2-5,Create a page for unsubscribing. Maintain a simple modern design. Use a hyperlink with the unsubscribe title,0.8,,,
4,P15-5,"Kindly design a web layout which would primarily be an Unsubscribe page and there will be an option for user after coming there to either opt in or out of receiving marketing emails, this should only be done based on their preference. Keep it simple and easy to navigate. Help regenerate the layout to assuage user's doubt that they are not subscribed to receiving the marketing email initially not unless they plan on doing so themselves",0.4,P3-5,"Help design a user access request feature for a website where users can request and receive a copy of their personal data collected by the site. Include a button labelled ""Request my data"" and a short explanation of what data will be shared, and a simple confirmation form and success message after submission. and ensure to keep the layout really clean and user friendly",1,,,
5,P14-5,"Could you help design an unsubscribe page for a website where users can easily opt out of newsletters or marketing emails? Include a clear¡°Unsubscribe¡± button, a short explanation, and a confirmation message after completion.",1,P3-5,,,,,
6,P12-5,Design a simple button for unsubscribe. Keep it clear and privacy-first.,1,P13-5,,,,,
7,P1-6,"Design a privacy consent interface for a website. It should be at the homepage of the website. It should attach a link to the privacy form and below it,acheckbox for confirming consent. On the bottom should be a continue button which appears only after confirmation",1,P13-5,,,,,
8,P8-6,"Design a privacy policy consent interface that appears when users first visit. Include a brief message, a link to the full policy, and an ¡®I Agree¡¯ button.Keep it clean, readable, and easy to continue",1,P8-7,,,,,
9,P8-6,"Design a privacy policy consent interface that appears when users first visit. Include a brief message, a link to the full policy, and an ¡®I Agree¡¯ button.Keep it clean, readable, and easy to continue",0.2,,,,,,
10,P9-6,"Design a clean privacy policy consent screen that appears on first visit. Include a short message, a link to the full policy, and an I Agrre button to continue.",1,,,,,,
11,P11-6,"Design a Privacy Policy Consent screen for a shopping website. When users first access, they must read and agree to the Privacy Policy beforecontinuing to use the service. Need a link to the full Privacy Policy document.",1,,,,,,
12,P13-6,Design for me a clean privacy policy layout that would show consent screen for first-time users. They should read and agree before continuing.,1,,,,,,
